"ID","领域","轮次","指令","前端执行前/秒","后端执行前/秒","差值（后−前）/秒"
"veh_single_location_001","车控","第 1 轮","我现在在哪个位置？","1.295","—","—"
"veh_single_state_windows_002","车控","第 1 轮","帮我看看车窗现在是不是都关着。","1.552","3.793","2.240"
"veh_single_climate_start_003","车控","第 1 轮","提前把空调打开预处理一下。","1.534","3.021","1.486"
"veh_single_climate_heat_004","车控","第 1 轮","空调切到制热模式。","1.724","2.926","1.201"
"veh_single_climate_fan_005","车控","第 1 轮","把空调风量调到 5 档。","1.671","2.627","0.957"
"veh_single_temperature_all_006","车控","第 1 轮","全车温度设到 23 度。","1.850","3.514","1.664"
"veh_single_temperature_passenger_down_007","车控","第 1 轮","副驾温度调低两度。","1.907","3.320","1.413"
"veh_single_window_front_half_008","车控","第 1 轮","把前排车窗开到一半。","1.576","3.223","1.647"
"veh_single_window_rear_vent_009","车控","第 1 轮","后排车窗留条缝通风。","1.708","2.922","1.214"
"veh_single_sunroof_vent_010","车控","第 1 轮","把天窗调成通风模式。","1.066","2.361","1.295"
"veh_single_trunk_open_011","车控","第 1 轮","打开后备箱。","1.353","2.566","1.213"
"veh_single_charge_port_open_012","车控","第 1 轮","把充电口打开。","1.280","2.606","1.326"
"veh_single_seat_heater_driver_013","车控","第 1 轮","主驾座椅加热开到二档。","2.098","3.372","1.273"
"veh_single_rear_seat_cooler_014","车控","第 1 轮","打开后排座椅通风。","1.554","4.025","2.471"
"veh_single_steering_heat_015","车控","第 1 轮","打开方向盘加热。","1.313","2.728","1.415"
"veh_single_auto_seat_climate_016","车控","第 1 轮","副驾自动座椅温控打开。","1.729","3.087","1.359"
"veh_single_headlights_open_017","车控","第 1 轮","打开大灯。","1.484","2.696","1.212"
"veh_single_flash_lights_018","车控","第 1 轮","帮我闪一下灯找车。","1.204","2.638","1.435"
"veh_single_honk_019","车控","第 1 轮","鸣笛一下，我找不到车了。","2.146","3.729","1.583"
"veh_single_boombox_020","车控","第 1 轮","播放外放定位提示音。","1.239","3.408","2.168"
"veh_single_charge_limit_021","车控","第 1 轮","充电上限设到 90%。","1.410","2.580","1.170"
"veh_single_charge_amps_022","车控","第 1 轮","充电电流调到 32A。","1.330","2.417","1.087"
"veh_chitchat_then_window_023","车控","第 2 轮","把右侧车窗打开。","1.375","8.527","7.152"
"mus_single_state_001","音乐","第 1 轮","现在放的什么歌？","1.197","—","—"
"mus_single_play_song_002","音乐","第 1 轮","播放七里香。","1.171","2.263","1.092"
"mus_single_play_artist_003","音乐","第 1 轮","放一首周杰伦的歌。","0.988","2.847","1.860"
"mus_single_search_004","音乐","第 1 轮","搜一下青花瓷，先别播放。","1.049","—","—"
"mus_single_pause_005","音乐","第 1 轮","暂停音乐。","0.876","1.946","1.070"
"mus_single_toggle_006","音乐","第 1 轮","切换一下播放暂停状态。","1.067","2.810","1.743"
"mus_single_next_007","音乐","第 1 轮","下一首。","0.979","2.206","1.226"
"mus_single_previous_008","音乐","第 1 轮","上一首。","0.867","2.452","1.585"
"mus_single_volume_up_009","音乐","第 1 轮","音乐音量调高两格。","1.363","2.391","1.028"
"mus_single_volume_set_010","音乐","第 1 轮","媒体音量设到 8。","1.347","2.274","0.926"
"mus_single_mute_011","音乐","第 1 轮","把音乐静音。","1.154","2.325","1.171"
"mus_single_source_radio_012","音乐","第 1 轮","切到广播。","1.610","2.668","1.058"
"mus_single_source_bluetooth_013","音乐","第 1 轮","切换到蓝牙播放。","1.133","2.639","1.506"
"mus_single_favorite_add_014","音乐","第 1 轮","收藏当前这首歌。","1.163","2.960","1.797"
"mus_context_next_favorite_015","音乐","第 1 轮","播放下一首收藏。","1.030","2.445","1.415"
"mus_chitchat_then_play_016","音乐","第 2 轮","播放稻香。","1.047","2.288","1.241"
"mus_chitchat_volume_017","音乐","第 2 轮","把音乐音量调低一点。","1.565","3.074","1.510"
"nav_single_start_001","导航","第 1 轮","导航去西湖","1.033","3.208","2.175"
"nav_single_start_strategy_002","导航","第 1 轮","带我去灵隐寺，少走高速","1.375","3.341","1.966"
"nav_single_start_waypoint_003","导航","第 1 轮","导航去杭州东站，中途经过黄龙体育中心","1.483","2.564","1.081"
"nav_single_route_query_004","导航","第 1 轮","先帮我看看去萧山机场要多久，不要开始导航","1.403","2.242","0.839"
"nav_single_search_nearby_005","导航","第 1 轮","附近有没有充电站？","1.455","—","—"
"nav_single_search_food_006","导航","第 1 轮","有点饿了，找个附近能吃饭的地方","1.595","—","—"
"nav_single_favorite_home_007","导航","第 1 轮","回家，走最快的路","1.788","2.947","1.159"
